step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.1109270378947258,0.03463813662528997,0.0,0.00017801475860554881,0.0005277207998235361,0.003209409484093231,dl
2,training,0.0011594581883400679,0.1808352768421173,0.0,0.021419147441955375,0.0006160634190754441,0.006964354580040334,dl
3,training,0.03130622208118439,0.13909777998924255,0.0,0.03879024989705515,0.000895626108313289,0.028297706503305233,dl
4,training,0.024033501744270325,0.06977593898773193,0.0,0.07529231931258372,0.0032904148613465177,0.10837369748131473,dl
5,training,0.00762411393225193,0.05804811418056488,0.0,0.11385064493111713,0.00925889635471462,0.19426209591707463,dl
6,training,0.0006610549753531814,0.034716129302978516,0.0,0.13292398797360355,0.01337296861017583,0.2295166021398103,dl
7,training,0.005458272527903318,0.09833678603172302,0.08284337051000441,0.17103566383548266,0.023328402884767455,0.2789003360446402,dl
8,training,0.021662864834070206,0.05259641259908675,0.08284337051000441,0.1901298707977327,0.028999360334655742,0.29869992929294664,dl
9,training,0.02791006490588188,0.09291207417845726,0.08284337051000441,0.20901370378007014,0.03499895700186428,0.31523594490890594,dl
10,training,0.022790230810642242,0.08547854796051979,0.08284337051000441,0.24656892678060796,0.04778243033693244,0.34119616054188945,dl
11,training,0.016366221010684967,0.023477533832192417,0.08284337051000441,0.28407955292735615,0.06163945343352487,0.3670484974587221,dl
12,training,0.015070842579007149,0.0222312118858099,0.08284337051000441,0.32040009996450153,0.07596518788522921,0.3812763181788777,dl
13,training,0.02221515215933323,0.01779763726517558,0.08284337051000441,0.35747633833211334,0.09091837150415791,0.38326105294594376,dl
14,training,0.01330553274601698,0.008968567475676537,0.06987086975559831,0.39468604152654707,0.1058966207782016,0.3815207527019947,dl
15,training,0.010768787935376167,0.01340714143589139,0.06987086975559831,0.43166484718687215,0.12070261989855521,0.37994835325729115,dl
16,training,0.0029294874984771013,0.011574129574000835,0.06987086975559831,0.4688982270376621,0.13558970153189875,0.38146597591963904,dl
17,training,0.0035450123250484467,0.035166360437870026,0.06987086975559831,0.5059315650905446,0.15046429970777106,0.3819625184539599,dl
18,training,0.0032496550120413303,0.024513324722647667,0.06987086975559831,0.543003321426361,0.16535261225996853,0.3810931113941474,dl
19,training,0.0048961518332362175,0.06654298584908247,0.06987086975559831,0.580327285139434,0.1802395744188834,0.3763480834332722,dl
20,training,0.001856483519077301,0.0007184967398643494,0.08135039209466208,0.6174533095336388,0.19472897121685986,0.3671963269203899,dl
21,training,0.0019481382332742214,0.019628928974270828,0.08135039209466208,0.6549487499678723,0.20898646554849892,0.3598611752821127,dl
22,training,0.0013691997155547142,0.025439320132136345,0.08135039209466208,0.6924432347089952,0.22297954015452437,0.3552624962220077,dl
23,training,0.0014777837786823511,0.03900892287492752,0.08135039209466208,0.7298951978118794,0.23678895844307066,0.3511123337891215,dl
24,training,0.0025019748136401176,0.0049384525045752525,0.08135039209466208,0.7676936992439671,0.2504978102597674,0.34416379691828997,dl
25,training,0.0011319135082885623,0.039475515484809875,0.08135039209466208,0.8052656492463613,0.26385424298122917,0.3397004197576774,dl
26,training,0.0011852984316647053,0.04789664037525654,0.0783604817963485,0.8429782218355613,0.2771980179437921,0.3418086748367113,dl
27,training,0.002096777781844139,0.04937226884067059,0.0783604817963485,0.8806640630823864,0.290686244695474,0.34686465909760933,dl
28,training,0.004359886981546879,0.00825127959251404,0.0783604817963485,0.9180925002547935,0.30430747500027416,0.34940895273342976,dl
29,training,0.002435725647956133,0.03299844637513161,0.0783604817963485,0.9558383790562899,0.317997778841651,0.3457032510409131,dl
30,training,0.0016414184356108308,0.02099951170384884,0.0783604817963485,0.9933950059443405,0.33148069315589607,0.3449232578605264,dl
31,training,0.0015903845196589828,0.024865832179784775,0.0783604817963485,1.03100299887389,0.34499747128361496,0.34408802146888257,dl
32,training,0.0010163062252104282,0.01763422228395939,0.04878078740934877,1.0688674799626379,0.3584554930368204,0.3391085557743225,dl
33,training,0.000356147822458297,0.024670692160725594,0.04878078740934877,1.106477878658101,0.37160441451318854,0.332752850675832,dl
34,training,0.0007924918318167329,0.011856045573949814,0.04878078740934877,1.1444688230781974,0.38456171720811516,0.32402768113000235,dl
35,training,0.0017446826677769423,0.02371269464492798,0.04878078740934877,1.1824969811638537,0.39714110490341453,0.3150092997397798,dl
36,training,0.0007051200373098254,0.04303162731230259,0.04878078740934877,1.2205492449973963,0.40933774003458717,0.30548605890850133,dl
